term,warmth,competence,sociability,trust1
drug dealing,-1.0,-0.19,-1.0,-1.0
drug store,0.515,-0.482,0.208,0.515
drug testing,0.6,0.034,-0.476,0.6
drug war,-0.762,-0.036,-0.762,-0.515
drugged,-0.741,-0.917,-0.5,-0.741
druggie,-0.972,-0.519,-0.958,-0.972
druggist,0.556,-0.166,-0.292,0.556
druggy,-0.967,-0.444,-0.667,-0.967
drugless,0.697,-0.389,0.238,0.697
drugs,-0.758,-0.264,-0.75,-0.758
drumbeat,0.25,0.4,0.25,0.0
drummer,0.286,0.128,0.286,0.028
drumstick,0.25,0.0,0.25,0.03
drunk,-0.788,-0.5,0.222,-0.788
drunk driver,-1.0,-0.084,-1.0,-0.944
drunk driving,-1.0,-0.556,-1.0,-0.897
drunkard,-0.75,-0.5,-0.75,-0.639
drunken,-0.667,-0.5,-0.667,-0.6
drunkenly,-0.697,-0.625,-0.238,-0.697
drunkenness,-0.733,-0.328,-0.556,-0.733
dry,-0.5,-0.378,-0.5,0.03
dry cleaning,0.1,-0.29,0.0,0.1
dry ice,-0.857,-0.25,-0.857,0.083
dry out,-0.476,-0.404,-0.476,0.0
dry powder,-0.125,-0.096,-0.125,0.037
dry skin,-0.524,-0.192,-0.524,0.03
dry up,-0.583,-0.388,-0.583,-0.1
dryclean,0.067,0.067,0.0,0.067
drying up,-0.625,-0.396,-0.625,-0.133
dryly,-0.458,0.083,-0.458,0.0
dryness,-0.571,-0.474,-0.571,-0.03
dub in,-0.292,-0.172,-0.292,-0.091
dubbed,0.0,0.458,0.0,0.0
dubiously,-0.694,-0.375,-0.542,-0.694
dubiousness,-0.879,-0.571,-0.571,-0.879
dubitably,-0.741,-0.5,-0.667,-0.741
duchess,0.708,0.422,0.708,0.485
ducking,-0.292,-0.412,-0.292,-0.167
duct tape,0.167,-0.366,0.0,0.167
dud,-0.583,-0.489,-0.583,-0.367
dude,0.833,0.23,0.833,0.03
duds,-0.556,-0.322,-0.556,-0.182
due process,0.867,0.178,0.0,0.867
due respect,0.933,-0.096,0.524,0.933
due to,0.033,-0.516,0.0,0.033
duel,-0.625,0.178,-0.625,-0.519
dues,0.556,-0.424,0.0,0.556
duet,0.958,0.054,0.958,0.0
duh,-0.667,-0.272,-0.667,-0.576
duke,0.455,0.338,0.25,0.455
dukedom,-0.375,0.963,-0.375,0.03
dulcet,0.593,0.185,0.593,0.167
dulcimer,0.542,0.0,0.542,0.033
dull,-0.704,-0.63,-0.704,-0.182
duller,-0.375,-0.524,-0.375,-0.133
dullish,-0.625,-0.625,-0.625,-0.067
dullness,-0.583,-0.708,-0.583,-0.259
dully,-0.542,-0.519,-0.542,-0.152
dum dum,-0.81,-0.62,-0.81,-0.111
dumb,-0.667,-0.698,-0.667,-0.515
dumb down,-0.519,-0.388,-0.519,-0.455
dumb luck,-0.042,-0.354,-0.042,-0.028
dumbass,-0.852,-0.875,-0.852,-0.5
dumbasses,-0.944,-0.274,-0.944,-0.833
dumbbell,-0.042,-0.272,-0.042,0.0
dumbbitch,-1.0,-0.214,-1.0,-0.909
dumber,-0.619,-0.286,-0.619,-0.433
dumbest,-0.889,-0.31,-0.889,-0.6
dumbing down,-0.476,-0.21,-0.476,-0.4
dumbly,-0.556,-1.0,-0.556,-0.4
dumbness,-0.708,-0.792,-0.708,-0.182
dumdum,-0.75,-0.952,-0.75,-0.375
dumfound,-0.286,-0.41,-0.286,0.074
dump,-0.722,-0.26,-0.722,-0.467
dump on,-0.7,-0.142,-0.625,-0.7
dumper,-0.583,0.524,-0.583,-0.333
dumpiness,-0.542,-0.625,-0.542,-0.042
dumplings,0.857,0.0,0.857,0.091
dumps,-0.741,-0.27,-0.741,-0.694
dumpster,-0.833,-0.801,-0.833,-0.528
dumpy,-0.444,-0.524,-0.444,-0.212
dunce,-0.722,-0.708,-0.722,-0.2
dunderhead,-0.889,-0.852,-0.889,-0.727
dung,-0.952,-0.702,-0.952,-0.733
dunghill,-1.0,-0.857,-1.0,-0.333
dunker,0.067,0.167,0.067,-0.03
dupe,-0.778,-0.346,-0.778,-0.633
duplicitous,-1.0,0.667,-0.833,-1.0
durability,0.767,0.626,0.143,0.767
durable,0.758,0.376,0.0,0.758
durableness,0.583,0.619,0.148,0.583
durably,0.633,0.583,0.0,0.633
duration,0.167,0.072,0.0,0.167
durational,-0.048,0.111,-0.048,0.026
duress,-0.727,0.224,-0.583,-0.727
duskiness,-0.458,-0.208,-0.458,-0.056
dusky,-0.167,-0.352,-0.148,-0.167
dust,0.0,-0.518,0.0,0.0
dust off,0.111,-0.552,0.111,-0.033
dustbin,-0.667,-0.292,-0.667,-0.455
dustily,-0.625,-0.333,-0.625,0.0
dustiness,-0.5,-0.296,-0.5,-0.042
dustman,-0.19,-0.296,-0.19,-0.037
dustproof,-0.25,0.25,-0.25,0.1
dutchman,0.056,0.0,0.056,0.0
duties,0.6,0.619,0.375,0.6
dutiful,0.848,0.17,0.708,0.848
dutifully,0.75,-0.542,0.75,0.75
dutifulness,0.917,0.476,0.917,0.875
duvet,0.917,-0.6,0.917,0.033
dwarf,-0.25,-0.424,-0.25,0.0
dwarfed,-0.556,-0.414,-0.556,0.0
dwarfish,-0.381,-0.458,-0.381,-0.273
dwarfishly,-0.524,-0.667,-0.524,-0.152
dwarfishness,-0.5,-0.792,-0.5,-0.212
dwarfism,-0.167,-1.0,-0.167,0.028
dwarves,0.182,-0.208,0.0,0.182
dweeb,-0.741,-0.346,-0.741,-0.121
dwell,0.182,0.222,0.167,0.182
dwell on,-0.292,-0.194,-0.292,-0.111
dwelling,0.381,-0.038,0.381,0.121
dwindle,-0.583,-0.519,-0.583,-0.167
dying,-0.714,-0.156,-0.714,-0.143
dynamic,0.571,0.672,0.571,0.0
dynamical,0.125,0.654,0.125,0.121
dynamically,0.292,0.963,0.292,0.121
dynamics,0.111,0.548,0.056,0.111
dynamism,0.619,0.958,0.619,0.222
dynamite,-1.0,0.566,-0.944,-1.0
dynastic,-0.571,0.958,-0.571,0.111
dynastical,0.467,0.778,-0.286,0.467
dynastically,-0.19,0.833,-0.19,0.083
dynasty,0.238,0.872,0.238,0.03
dysenteric,-0.75,-0.852,-0.75,-0.111
dysentery,-0.917,-0.31,-0.917,-0.727
dysfunction,-0.727,-0.228,-0.714,-0.727
dysfunctional,-0.788,-0.386,-0.667,-0.788
dyslexia,0.238,-0.792,0.238,0.0
dyslexic,0.111,-0.611,0.111,-0.067
dysmorphic,-0.667,-0.667,-0.667,-0.139
dyspepsia,-0.708,-0.08,-0.708,-0.111
dyspeptic,-0.708,-0.444,-0.708,-0.259
dysphasia,-0.583,-0.667,-0.583,-0.03
dysphonic,-0.625,-0.778,-0.625,-0.152
dysphoria,-0.667,-0.667,-0.667,-0.037
dysphoric,-0.75,-0.905,-0.75,-0.515
dysplasia,-0.556,-0.583,-0.556,-0.061
dystopia,-0.792,0.111,-0.792,-0.75
dystopian,-0.792,-0.2,-0.792,-0.583
dystrophic,-0.792,-0.81,-0.792,-0.3
dystrophy,-0.741,-0.963,-0.741,-0.111
each other,0.905,0.0,0.905,0.636
each year,0.074,-0.03,0.0,0.074
eagerly,0.857,0.0,0.857,0.444
eaglet,0.143,0.458,0.143,0.133
earache,-0.5,-0.81,-0.5,0.0
earless,-0.792,-0.619,-0.792,-0.139
earliest,0.286,0.111,0.286,0.133
earlike,-0.111,-0.259,-0.111,0.028
earliness,0.556,0.333,0.185,0.556
early,0.292,-0.148,0.292,0.133
early adopter,0.545,0.234,0.381,0.545
early bird,0.833,0.0,0.833,0.788
early childhood,0.875,0.194,0.875,0.074
early spring,0.917,-0.214,0.917,0.03
earmark,-0.519,0.444,0.167,-0.519
earn,0.81,0.634,0.81,0.455
earn money,0.121,0.31,-0.067,0.121
earner,0.567,0.667,0.048,0.567
earnest,0.926,0.34,0.926,0.788
earnestly,0.852,0.434,0.852,0.848
earnestness,0.879,0.23,0.875,0.879
earnings,0.333,0.75,0.0,0.333
earphone,0.139,-0.083,0.0,0.139
earrings,0.375,0.034,0.375,0.0
earsplitting,-0.704,0.519,-0.704,-0.444
earth,0.857,0.228,0.857,0.0
earth shattering,-0.185,0.276,-0.185,0.121
earthlike,0.19,0.238,0.19,0.056
earthly,0.296,0.036,0.296,0.205
earthman,0.25,0.292,0.25,0.0
earthquake,-0.03,0.624,-0.028,-0.03
earthy,0.619,-0.192,0.619,0.037
earwax,-0.833,-0.5,-0.833,0.0
ease,0.905,-0.018,0.905,0.233
easeful,0.667,-0.222,0.667,0.242
easel,0.278,0.054,0.278,0.083
easier,0.476,-0.226,0.476,0.071
easiest,0.208,0.034,0.208,0.139
easily,0.625,-0.094,0.625,0.121
easiness,0.667,-0.458,0.667,0.121
east asia,0.5,0.138,0.5,0.0
eastcoast,0.5,0.19,0.5,0.0
easter bunny,1.0,0.0,1.0,0.467
easter egg,0.778,-0.2,0.778,0.111
easter eggs,0.81,0.072,0.81,0.056
easter sunday,0.958,0.25,0.958,0.867
eastern conference,0.111,0.354,0.111,0.03
eastern time,0.03,0.134,0.0,0.03
easy,0.917,-0.254,0.917,0.303
easy going,0.926,0.16,0.926,0.273
easy money,-0.778,0.068,0.111,-0.778
easygoing,0.958,0.076,0.958,0.367
easygoingness,1.0,-0.444,1.0,0.667
eat,0.875,-0.072,0.875,0.003
eat crow,-0.417,-0.414,-0.417,-0.2
eat off,0.095,-0.414,0.095,-0.091
eatable,0.19,0.0,0.19,0.056
eaten,0.042,-0.667,0.042,0.0
eatery,0.833,0.0,0.833,0.182
eating,0.905,0.23,0.905,0.077
eating disorder,-0.625,-0.344,-0.625,-0.556
eatingdisorders,-0.667,0.016,-0.667,-0.167
eavesdrop,-0.625,-0.264,-0.625,-0.583
eavesdropper,-0.879,-0.583,-0.556,-0.879
ebb,-0.429,-0.192,-0.429,0.0
ebook,0.273,0.222,0.0,0.273
ebullient,1.0,0.492,1.0,0.212
eccentrically,-0.381,0.0,-0.381,0.033
ecclesiastic,0.556,0.458,0.429,0.556
ecclesiastical,0.639,0.32,-0.25,0.639
ecclesiastically,0.545,0.37,0.083,0.545
ecclesiasticism,0.611,0.6,0.429,0.611
echocardiogram,0.167,0.048,-0.048,0.167
eclair,0.481,0.0,0.481,0.111
eclectic,0.63,0.016,0.63,0.182
eclectically,0.051,0.296,0.048,0.051
eclecticism,0.458,0.381,0.458,0.061
eco friendly,0.905,0.42,0.905,0.75
ecologic,0.286,0.167,0.286,0.182
ecological,0.545,0.214,0.533,0.545
ecologically,0.25,0.259,0.25,0.152
ecologist,0.667,0.667,0.542,0.667
ecology,0.625,0.5,0.625,0.182
ecommerce,-0.417,0.708,-0.417,0.194
economic crisis,-0.762,-0.138,-0.762,-0.167
economic growth,0.625,0.434,0.625,0.2
economical,0.633,0.346,0.167,0.633
economically,0.0,0.556,0.0,0.0
economics,0.139,0.264,-0.067,0.139
economization,-0.381,0.583,-0.381,0.152
economizer,0.485,0.5,-0.083,0.485
ecospecies,0.083,0.0,0.0,0.083
ecosphere,0.148,0.333,0.148,0.091
ecosystem,0.242,0.266,0.0,0.242
ecotourism,1.0,0.296,1.0,0.545
ecstasy,0.958,0.31,0.958,0.067
ecstatic,0.963,0.484,0.963,0.25
ecstatically,0.958,0.5,0.958,0.179
ectopic,-0.542,-0.2,-0.542,0.028
eczema,-0.389,-0.417,-0.389,-0.028
edema,-0.667,-0.364,-0.667,0.0
edge off,0.125,0.034,0.125,0.083
edgeways,-0.185,-0.083,-0.185,-0.026
edgewise,-0.03,-0.111,0.0,-0.03
edgy,-0.375,-0.388,-0.375,-0.278
edibility,0.267,0.208,0.208,0.267
edible,0.636,-0.006,0.571,0.636
edibleness,0.259,0.185,0.259,0.121
edict,0.455,0.12,-0.429,0.455
edification,0.917,0.394,0.917,0.667
edifier,0.667,0.519,0.667,0.6
edify,0.917,0.625,0.917,0.767
edit out,-0.286,-0.482,-0.286,-0.033
editor,0.722,0.346,0.246,0.722
educate,0.875,0.456,0.875,0.727
educated,0.725,0.25,0.542,0.725
educated guess,0.639,0.428,0.286,0.639
education,0.8,0.68,0.75,0.8
educational,0.815,0.528,0.815,0.667
educational system,0.611,0.068,0.611,0.515
educationalist,0.697,0.63,0.625,0.697
educationally,0.515,0.333,0.417,0.515
educationist,0.667,0.611,0.667,0.606
educative,0.81,0.571,0.81,0.667
educator,0.958,0.69,0.958,0.639
eeeek,0.296,-0.302,0.296,-0.03
eeek,-0.091,-0.396,0.0,-0.091
eek,-0.208,-0.314,-0.208,-0.111
eel,-0.375,-0.026,-0.375,0.03
eerie,-0.667,-0.116,-0.667,-0.333
eerily,-0.667,0.0,-0.667,-0.481
eeriness,-0.667,-0.481,-0.667,-0.533
eff off,-1.0,-0.276,-1.0,-0.97
effective,0.778,0.661,0.148,0.778
effectiveness,0.722,0.624,0.333,0.722
effectivity,0.5,0.857,0.0,0.5
effectual,0.633,0.64,0.381,0.633
effectually,0.625,0.188,0.113,0.625
effeminate,-0.417,-0.418,-0.417,-0.185
effeminize,-0.583,-0.952,-0.583,-0.472
effervesce,1.0,0.571,1.0,0.111
effervescence,0.905,0.37,0.905,0.091
effervescency,0.875,0.25,0.875,0.152
effervescent,0.889,0.63,0.889,0.212
efficacious,0.788,0.69,0.25,0.788
efficaciously,0.567,0.963,0.0,0.567
efficaciousness,0.121,0.833,0.0,0.121
efficacy,0.758,0.885,0.238,0.758
efficiency,0.222,0.784,0.222,0.185
efficient,0.722,0.66,0.286,0.722
efficiently,0.694,0.833,0.0,0.694
effluent,-0.667,-0.208,-0.667,-0.167
effort,0.875,0.716,0.875,0.818
effortful,0.5,0.519,0.5,0.286
effortless,0.792,-0.296,0.792,0.641
effuse,0.143,-0.167,0.143,0.033
effusion,0.524,-0.056,0.524,-0.03
effusive,1.0,0.381,1.0,0.167
effusiveness,1.0,-0.444,1.0,0.222
effyou,-0.963,-0.02,-0.958,-0.963
egalitarian,1.0,0.708,1.0,0.818
egalitarianism,1.0,0.444,1.0,0.879
egg,0.048,-0.414,0.048,0.0
egghead,-0.5,-0.432,-0.5,-0.152
eggless,0.0,-0.25,0.0,0.0
eggnog,0.905,-0.482,0.905,0.167
eggroll,0.333,0.0,0.333,0.121
ego,-0.583,0.186,-0.583,-0.375
egocentric,-0.75,0.833,-0.75,-0.733
egocentricity,-0.714,0.889,-0.714,-0.576
egocentrism,-0.75,0.75,-0.75,-0.667
egoist,-0.75,0.6,-0.75,-0.611
egoistic,-0.875,0.917,-0.875,-0.667
egoistically,-0.792,0.542,-0.792,-0.639
egomania,-1.0,1.0,-0.889,-1.0
egomaniac,-1.0,0.192,-1.0,-0.917
egomaniacal,-1.0,0.852,-1.0,-0.788
egotism,-0.667,0.926,-0.667,-0.667
egotist,-0.889,0.926,-0.889,-0.667
egotistic,-0.857,0.815,-0.857,-0.63
egotistical,-0.788,-0.274,-0.762,-0.788
egotistically,-0.833,0.852,-0.833,-0.758
egregious,-0.762,-0.116,-0.762,-0.7
egregiously,-0.833,0.333,-0.833,-0.741
egret,0.167,0.0,0.167,0.033
eightyfold,0.0,0.5,0.0,0.0
either,0.0,-0.222,0.0,0.0
ejaculator,-0.857,0.556,-0.857,-0.8
ejection,-0.5,0.108,-0.5,-0.152
elaborately,0.259,0.238,0.259,-0.033
elaborateness,0.19,0.519,0.19,0.061
elaboration,0.375,0.196,0.375,0.222
elaborative,0.389,0.222,0.389,0.182
elaborator,0.667,0.619,0.667,0.278
elastic,0.033,-0.23,0.0,0.033
elastically,0.03,0.259,0.0,0.03
elasticity,0.028,0.164,0.0,0.028
elated,0.926,0.45,0.926,0.182
elatedly,0.944,0.381,0.944,0.03
elatedness,0.958,0.429,0.958,0.278
elation,1.0,0.246,1.0,0.364
elbowroom,0.25,0.222,0.25,0.185
elderberry,0.333,-0.19,0.333,0.037
eldercare,0.958,-0.481,0.958,0.697
elderflower,0.524,-0.143,0.524,0.051
eldership,0.708,0.63,0.708,0.6
eldest,0.5,0.482,0.37,0.5
elect,0.633,0.322,0.333,0.633
electability,0.476,0.625,0.476,0.2
electable,0.571,0.963,0.571,0.364
election,0.278,0.302,0.278,0.133
election campaign,-0.519,0.634,0.0,-0.519
election fraud,-0.944,-0.418,-0.926,-0.944
electively,0.19,0.417,0.19,0.111
electiveness,0.238,0.571,0.238,0.139
electric bill,-0.042,0.138,-0.042,0.0
electric chair,-0.958,0.068,-0.958,-0.148
electric guitar,0.417,0.172,0.417,0.121
electric toothbrush,0.242,0.16,0.048,0.242
electrical engineer,0.636,0.424,-0.185,0.636
electricity,0.0,0.466,0.0,0.0
electro,-0.429,0.542,-0.429,0.03
electroconvulsive,-0.667,0.556,-0.667,-0.333
electrocute,-0.944,0.11,-0.944,-0.083
electrocuted,-1.0,-0.81,-1.0,0.0
electrocution,-0.963,0.384,-0.963,-0.095
electroluminescent,0.056,0.2,0.056,0.03
electromagnet,-0.556,0.905,-0.556,0.0
electronegative,-0.417,0.292,-0.417,-0.103
electronics,0.25,0.148,-0.111,0.25
electroshock,-0.958,0.19,-0.958,-0.367
electrotherapist,0.583,0.571,0.259,0.583
elegance,0.708,0.648,0.708,0.556
elegancy,0.481,0.417,0.476,0.481
elegant,0.528,0.37,0.5,0.528
elegantly,0.556,0.292,0.556,0.444
elemental,0.061,0.422,0.0,0.061
elementary school,0.889,-0.026,0.889,0.455
elephantine,-0.208,0.708,-0.208,0.028
elevate,0.778,0.72,0.778,0.364
elevated,0.556,0.24,0.208,0.556
elevation,0.667,0.422,0.667,0.278
elevator music,-0.5,0.04,-0.5,0.028
elfin,0.476,-0.222,0.476,0.033
elfishly,-0.472,-0.407,-0.125,-0.472
elflike,0.714,-0.333,0.714,0.111
elicitation,0.381,0.458,0.381,0.267
eligibility,0.533,0.448,0.286,0.533
eligible,0.212,0.036,0.0,0.212
eliminate,-0.524,-0.352,-0.524,0.222
eliminated,-0.444,-0.905,-0.444,0.0
elimination,-0.571,-0.138,-0.571,0.0
eliminator,-0.583,0.833,-0.583,-0.485
eliminatory,-0.667,0.583,-0.667,0.03
elite,-0.625,0.474,-0.625,-0.333
elitism,-0.714,0.81,-0.714,-0.556
elixir,0.389,0.208,0.389,0.152
ellipsis,0.0,-0.372,0.0,0.0
elliptical,0.0,-0.02,0.0,0.0
elocution,0.296,0.611,0.125,0.296
elocutionist,0.5,0.63,0.5,0.436
elope,0.708,0.056,0.708,-0.259
eloquence,0.875,0.608,0.875,0.697
eloquent,0.917,0.482,0.917,0.481
eloquently,0.857,0.708,0.857,0.364
elsewhere,-0.458,-0.366,-0.458,0.0
elucidation,0.633,0.172,0.619,0.633
elucidatory,0.533,0.593,0.0,0.533
elusive,-0.593,-0.068,-0.593,-0.212
emaciate,-0.81,-0.852,-0.81,-0.083
emaciated,-0.704,-0.698,-0.704,-0.067
emaciation,-0.833,-0.762,-0.833,-0.143
email,0.167,-0.088,0.074,0.167
emanate,0.667,0.108,0.667,0.233
emancipate,0.778,1.0,0.667,0.778
emancipation,0.905,0.526,0.905,0.704
emancipationist,0.81,0.875,0.81,0.704
emancipator,0.852,1.0,0.852,0.848
emancipist,0.515,0.625,0.333,0.515
emasculate,-0.833,-0.958,-0.833,-0.722
emasculated,-0.722,-1.0,-0.63,-0.722
emasculation,-0.708,-0.867,-0.708,-0.576
emasculator,-0.833,0.458,-0.833,-0.636
emasculatory,-0.75,-0.889,-0.667,-0.75
embalmer,-0.619,0.571,-0.619,0.125
embalmment,-0.792,-0.259,-0.792,-0.185
embankment,-0.208,-0.128,-0.208,0.133
embargo,-0.619,-0.114,-0.619,-0.182
embark on,0.364,0.326,0.333,0.364
embarkation,-0.042,0.19,-0.042,0.0
embarrass,-0.458,-0.272,-0.458,-0.222
embarrassed,-0.25,-0.47,-0.25,-0.152
embarrassing,-0.571,-0.55,-0.571,-0.182
embarrassment,-0.152,-0.548,0.083,-0.152
embattle,-0.667,0.815,-0.667,-0.267
embattled,-0.667,-0.158,-0.667,-0.606
embattlement,-0.667,0.542,-0.667,0.03
embellish,-0.472,0.538,0.0,-0.472
embellishment,-0.444,-0.19,0.259,-0.444
embezzle,-0.963,0.905,-0.963,-0.939
embezzlement,-1.0,-0.13,-0.926,-1.0
embezzler,-1.0,-0.018,-1.0,-0.944
embitter,-0.762,-0.583,-0.762,-0.636
embitterment,-0.708,-0.704,-0.708,-0.639
emblaze,0.167,0.815,0.167,-0.037
emblazon,0.061,0.524,0.042,0.061
emblem,0.25,0.508,0.125,0.25
emblematic,0.545,0.596,0.481,0.545
emblematically,0.167,0.148,0.125,0.167
emblemize,0.037,0.542,0.0,0.037
embody,0.833,0.625,0.833,0.367
embolden,0.81,0.722,0.81,0.182
embolism,-0.833,-0.396,-0.833,0.0
emboss,0.048,0.417,0.048,0.028
embowel,-1.0,-0.542,-1.0,0.0
embrace,0.905,-0.096,0.905,0.485
embraceable,0.963,0.467,0.963,0.528
embracement,0.917,0.407,0.917,0.606
embracer,0.875,0.429,0.875,0.3
embroider,0.333,-0.222,0.333,-0.194
embroidered,0.389,-0.186,0.389,0.037
embroiderer,0.542,-0.167,0.542,0.242
embroidery,0.444,-0.44,0.444,0.333
embroil,-0.667,-0.185,-0.667,-0.667
embroiled,-0.583,-0.358,-0.37,-0.583
embroilment,-0.727,-0.5,-0.571,-0.727
embryo,0.1,-0.094,0.074,0.1
emcee,0.714,0.382,0.714,0.111
emerald,0.37,0.452,0.37,0.028
emerged,0.429,0.407,0.429,0.2
emergence,0.333,0.352,0.333,0.091
emergencies,0.762,-0.25,0.762,0.606
emergency,0.286,0.142,0.238,0.286
emergency brake,0.556,-0.066,-0.185,0.556
emergency department,0.646,0.536,0.125,0.646
emergency fund,0.857,0.408,0.857,0.515
emergency room,0.667,-0.034,-0.238,0.667
emergent,0.417,0.593,0.417,0.222
emeritus,0.611,0.47,0.375,0.611
emersion,0.238,0.048,0.238,0.0
emetophobia,-0.238,-0.194,-0.238,-0.056
emigrate,-0.074,0.016,-0.074,0.061
eminence,0.606,0.674,0.583,0.606
eminency,0.576,1.0,0.25,0.576
eminent,0.667,0.66,0.524,0.667
eminent domain,-0.542,0.4,-0.542,-0.278
eminently,0.818,0.546,0.185,0.818
emit,0.25,0.02,0.25,0.0
emo,-0.333,-0.548,-0.333,-0.033
emollient,0.407,-0.37,0.407,0.152
emote,0.708,-0.407,0.708,0.0
emoticon,0.722,0.148,0.722,0.0
emotion,0.917,0.392,0.917,0.061
emotional,0.75,0.052,0.75,-0.033
emotional intelligence,0.963,0.322,0.963,0.667
emotional person,0.667,-0.334,0.667,0.061
emotional state,0.952,0.096,0.952,0.0
emotionality,0.667,-0.444,0.667,0.033
emotionally,0.476,-0.19,0.476,0.091
emotionless,-0.926,-0.167,-0.926,-0.212
emotive,0.889,0.05,0.889,0.077
emotively,0.583,-0.037,0.583,0.0
emotiveness,0.833,-0.222,0.833,0.03
empathetic,0.958,0.333,0.958,0.848
empathic,1.0,0.116,1.0,0.758
empathically,0.889,-0.037,0.889,0.533
empathize,1.0,0.32,1.0,0.639
empathy,1.0,0.09,1.0,0.889
emperor,0.636,0.962,-0.333,0.636
emperorship,-0.556,1.0,-0.556,0.121
emphasis,0.375,0.632,0.375,0.167
emphatically,0.619,0.611,0.619,0.367
emphysema,-0.667,-0.328,-0.667,-0.095
empire,-0.5,0.722,-0.5,0.121
employ,0.476,0.404,0.476,0.167
employability,0.364,0.593,0.208,0.364
employable,0.542,0.667,0.542,0.259
employer,0.641,0.534,-0.095,0.641
employment,0.556,0.222,0.458,0.556
empower,0.81,0.782,0.81,0.778
empowerment,1.0,1.0,1.0,0.533
empress,0.6,0.71,0.067,0.6
emptied,-0.476,-0.583,-0.476,0.033
emptier,-0.417,-0.542,-0.417,-0.152
emptiness,-0.889,-0.632,-0.889,0.0
empty,-0.667,-0.919,-0.667,-0.25
empty words,-0.625,-0.264,-0.625,-0.583
emulation,0.455,0.583,0.375,0.455
emulative,0.576,0.542,0.0,0.576
emulator,-0.167,0.407,-0.167,0.105
enable,0.963,0.564,0.963,0.583
enabler,-0.533,0.333,-0.278,-0.533
enact,0.5,0.196,0.5,0.033
enactment,0.333,0.538,0.333,0.242
enamelware,0.139,0.0,0.056,0.139
enamor,0.958,0.583,0.958,0.233
encage,-0.75,-0.625,-0.75,-0.25
encamp,0.167,0.083,0.167,0.0
encampment,0.125,0.21,0.125,0.0
encase,0.083,0.259,0.0,0.083
encasement,-0.556,-0.083,-0.556,0.0
encephalitic,-0.542,-0.571,-0.542,0.0
encephalitis,-0.111,-0.75,-0.111,0.0
encephalopathy,-0.5,-0.857,-0.5,-0.067
enchant,0.917,0.286,0.917,0.4
enchanted,0.875,0.374,0.875,0.282
enchanting,0.963,0.416,0.963,0.256
enchantment,0.852,0.294,0.852,0.133
enchantress,0.619,-0.042,0.619,0.033
encompassment,0.481,0.593,0.333,0.481
encounter,0.524,0.378,0.524,0.0
encourage,0.973,0.408,0.973,0.667
encouraged,0.926,0.314,0.926,0.208
encouragement,1.0,0.518,1.0,0.727
encourager,0.926,0.5,0.926,0.848
encouraging,1.0,0.51,1.0,0.806
encroach,-0.556,0.404,-0.542,-0.556
encroachment,-0.636,0.24,-0.481,-0.636
encrustation,-0.519,-0.19,-0.519,-0.1
encumber,-0.667,-0.458,-0.667,-0.182
encumbrance,-0.524,-0.04,-0.524,-0.242
encyclopedia,0.758,0.29,-0.048,0.758
encyclopedic,0.889,0.704,-0.429,0.889
encyclopedically,0.485,0.714,-0.048,0.485
end,-0.375,-0.404,-0.375,0.0
end game,-0.25,-0.4,-0.25,0.033
end in,-0.143,-0.38,-0.143,-0.083
end of,-0.476,-0.214,-0.476,0.0
end on,0.061,-0.25,0.042,0.061
end point,0.091,-0.31,0.0,0.091
end product,0.121,-0.212,0.0,0.121
end result,0.133,0.206,-0.125,0.133
end up,0.139,-0.62,0.0,0.139
end user,0.1,-0.25,-0.074,0.1
end with,-0.222,-0.2,-0.222,-0.067
endanger,-0.767,-0.192,-0.667,-0.767
endangered,0.333,-0.14,0.286,0.333
endangered species,0.583,-0.2,0.583,0.121
endangerment,-0.708,0.038,-0.708,-0.606
endear,1.0,-0.458,1.0,0.576
endearing,1.0,0.208,1.0,0.611
endearment,1.0,-0.238,1.0,0.636
endeavor,0.792,0.53,0.792,0.606
ended,-0.375,0.0,-0.375,0.056
ending,-0.074,-0.016,-0.074,0.03
endless,0.25,-0.056,0.25,0.083
endmost,-0.333,0.296,-0.333,-0.033
endocarditis,-0.81,-0.176,-0.81,-0.567
endocentric,0.0,0.143,0.0,0.0
endocrinologist,0.528,0.889,-0.208,0.528
endorphin,0.667,0.286,0.667,0.212
endorsed,0.667,0.667,0.667,0.583
endorsement,0.852,0.222,0.852,0.636
endorser,0.639,0.667,0.571,0.639
endotoxin,-0.833,-0.444,-0.833,-0.37
endow,0.889,0.218,0.889,0.533
endowed,0.633,0.538,0.481,0.633
endower,0.571,0.667,0.571,0.515
endowment,0.606,0.294,0.111,0.606
endpoint,0.083,-0.104,0.0,0.083
endurably,0.25,0.37,0.25,0.133
endure,0.714,0.148,0.714,0.515
endured,0.5,0.476,0.5,0.111
enduring,0.667,0.536,0.667,0.667
enema,-0.583,-0.464,-0.583,-0.148
enemies,-0.873,0.875,-0.873,-0.65
enemy,-0.902,0.182,-0.902,-0.568
energetic,1.0,0.804,1.0,0.121
energetically,0.833,0.542,0.833,0.083
energies,0.625,0.704,0.625,0.111
energize,0.667,0.75,0.667,0.2
energizer,0.833,0.5,0.833,0.212
energy,0.917,0.736,0.917,0.222
energy crisis,-0.583,0.0,-0.583,-0.042
energy efficient,0.611,0.414,0.0,0.611
energy level,0.429,0.366,0.429,0.111
enfeebled,-0.667,-1.0,-0.667,-0.182
enflame,-0.433,0.714,-0.292,-0.433
enforceable,0.667,0.476,0.0,0.667
