term,valence,arousal,dominance
extenuation,-0.25,-0.519,-0.333
extenuator,0.333,-0.667,0.222
exterior,0.084,-0.2,0.254
exteriorization,-0.083,0.333,0.208
exteriorize,0.0,0.593,0.619
exterminable,-0.704,-1.0,0.593
exterminate,-0.646,0.714,0.472
extermination,-0.62,0.72,0.232
exterminator,-0.312,0.608,0.774
exterminatory,-1.0,1.0,0.917
external,-0.021,-0.318,0.018
externalism,0.0,0.0,0.19
externalist,0.0,-0.5,0.481
externality,0.0,0.0,0.074
externalization,0.0,0.619,0.389
externalize,0.037,0.667,0.593
externally,0.286,0.042,0.136
exterritorial,0.0,0.0,0.556
extinct,-0.776,-0.018,-0.176
extinction,-0.792,0.5,0.222
extinguish,-0.52,0.152,-0.036
extinguishable,-0.25,-0.481,-0.519
extinguisher,0.414,-0.242,0.086
extinguishment,-0.667,-1.0,0.074
extol,0.164,0.334,-0.088
extort,-0.896,0.654,0.14
extorter,-1.0,0.667,0.958
extortion,-0.776,0.736,0.26
extortionate,-0.963,0.625,0.741
extortionist,-1.0,0.667,0.963
extortive,-0.867,0.667,0.952
extra,0.312,0.102,0.49
extra curricular,0.516,0.162,0.394
extra innings,0.134,0.18,0.334
extra large,0.194,0.15,0.666
extra point,0.166,-0.046,0.552
extra time,0.2,-0.06,-0.064
extracellular,0.0,-0.19,0.0
extracorporeal,0.042,0.222,0.0
extract,0.13,-0.196,0.038
extractable,0.278,0.167,0.619
extractible,0.593,-0.667,0.238
extracting,0.042,0.418,0.378
extraction,-0.164,0.48,0.052
extractive,0.0,0.611,0.857
extractor,-0.396,0.072,0.038
extracurricular,-0.086,-0.058,0.486
extraditable,-0.333,0.0,0.083
extradite,-0.556,0.667,0.667
extradition,-0.542,0.254,0.108
extragalactic,0.0,0.0,0.429
extrajudicial,-0.27,0.372,0.334
extramarital,-0.667,0.667,-0.375
extramural,-0.328,0.118,0.074
extraneous,-0.448,0.25,-0.044
extraneously,-0.333,-0.333,-0.074
extraneousness,-0.381,-0.583,-0.524
extraordinaire,0.694,0.728,0.796
extraordinarily,0.958,0.0,0.583
extraordinariness,0.958,0.519,0.963
extraordinary,0.938,0.456,0.802
extrapolate,0.0,0.611,0.75
extrapolation,0.5,0.625,0.722
extrapolative,0.593,0.625,0.481
extrapolator,0.625,0.593,0.481
extraprofessional,0.5,0.0,0.519
extrasensory,0.333,0.375,0.375
extrasolar,0.0,0.083,0.238
extraterrestrial,0.02,0.666,0.584
extraterritorial,0.0,0.0,0.625
extraterritoriality,-0.19,0.519,0.917
extraterritorially,0.0,0.0,0.37
extravagance,0.062,0.604,0.4
extravagancy,-0.571,0.667,0.458
extravagant,0.44,0.526,0.624
extravagantly,0.0,0.667,0.583
extravaganza,0.292,0.572,0.812
extravehicular,0.0,0.667,0.63
extraversion,0.667,0.792,0.625
extravert,0.708,1.0,0.429
extreme,-0.364,0.6,0.442
extreme anticipation,0.102,0.48,0.408
extreme disgust,-0.896,0.746,-0.088
extreme sport,0.31,0.338,0.414
extreme surprise,0.666,0.87,0.352
extreme trust,0.652,0.426,0.844
extremely,0.27,0.654,0.772
extremely negative,-0.94,0.572,-0.378
extremely positive,0.986,0.46,0.678
extremeness,-0.667,0.704,0.542
extremism,-0.667,0.667,0.905
extremist,-0.708,0.667,0.778
extremity,-0.184,0.176,0.166
extricable,0.714,-0.667,-0.148
extricate,0.084,0.02,0.086
extricated,0.857,0.667,0.926
extrication,0.667,0.667,0.704
extrinsic,0.02,-0.042,0.272
extrinsically,0.0,0.0,0.238
extroversion,0.667,0.875,0.667
extrovert,0.667,0.667,0.667
extrude,0.0,0.667,0.417
extruder,0.0,0.667,0.375
extrusion,-0.542,0.32,0.09
extrusive,0.0,0.542,0.407
exuberance,0.396,0.632,0.574
exuberant,1.0,1.0,0.593
exuberantly,0.857,1.0,0.583
exuberate,0.889,1.0,0.619
exude,-0.25,0.038,-0.178
exult,0.958,1.0,0.792
exultance,1.0,1.0,0.778
exultancy,1.0,1.0,0.583
exultant,1.0,1.0,0.714
exultantly,1.0,1.0,0.833
exultation,1.0,1.0,0.81
eye,0.062,-0.47,-0.15
eye candy,0.408,0.034,0.064
eye contact,-0.062,0.076,0.322
eye doctor,0.322,-0.204,0.242
eye drops,0.1,-0.22,-0.166
eye level,0.162,-0.254,0.166
eye opener,0.038,0.308,-0.154
eye patch,-0.358,0.0,-0.022
eye shadow,0.314,-0.102,0.222
eye surgery,-0.354,0.266,0.102
eyeball,0.052,-0.156,-0.16
eyebath,0.25,-0.444,-0.125
eyeblink,0.056,0.524,-0.083
eyebrow,0.02,-0.604,-0.556
eyed,0.0,0.333,0.0
eyedrop,0.0,-0.593,-0.208
eyedropper,0.0,-0.056,-0.056
eyeful,0.604,0.0,0.352
eyeglass,0.062,-0.528,-0.428
eyeglasses,0.122,-0.462,-0.388
eyehole,-0.259,0.0,-0.095
eyelash,-0.04,-0.5,-0.444
eyelashes,0.278,-0.593,-0.167
eyeless,-0.667,-0.667,-0.778
eyelet,0.264,-0.404,-0.308
eyelid,0.0,-0.905,-0.5
eyelids,0.0,-1.0,-0.5
eyelike,0.458,0.0,0.167
eyeliner,0.376,-0.302,-0.306
eyepatch,-0.125,-0.095,0.583
eyepiece,-0.164,-0.306,-0.04
eyes,0.52,-0.442,-0.136
eyeshade,0.0,-0.571,0.0
eyeshadow,0.333,-0.583,0.0
eyeshot,0.0,0.333,0.0
eyesight,0.5,0.0,-0.314
eyesore,-1.0,-0.375,-0.429
eyestrain,-0.667,-0.333,-0.333
eyetooth,0.0,-0.074,0.0
eyewash,-0.333,0.0,-0.292
eyewear,0.0,-0.5,0.037
eyewitness,0.082,0.372,0.396
fab,-0.02,-0.24,-0.188
fable,0.326,-0.226,-0.222
fabled,0.25,0.076,0.09
fabric,0.27,-0.62,-0.31
fabric softener,0.28,-0.032,-0.178
fabricant,0.0,0.667,0.444
fabricate,0.272,-0.018,0.558
fabricated,-0.164,-0.146,0.11
fabrication,0.146,0.174,0.41
fabricator,-0.63,0.667,0.481
fabulous,0.958,0.32,0.594
fabulously,1.0,0.0,0.37
fabulousness,1.0,-0.667,0.542
facade,0.04,-0.334,0.036
face,0.142,-0.654,-0.094
face about,-0.094,-0.14,-0.032
face card,0.096,0.064,0.13
face down,-0.358,-0.238,-0.388
face mask,0.0,-0.05,-0.13
face off,-0.234,-0.096,-0.058
face paint,0.25,-0.058,0.108
face shield,-0.104,0.148,0.13
face time,0.366,-0.076,0.034
face up,0.0,-0.12,0.162
face value,0.3,0.036,0.334
face wash,0.322,-0.178,0.0
faceable,0.625,0.0,0.296
facebook,0.476,0.667,0.619
facebook page,0.1,0.092,0.0
facecloth,0.0,-0.519,0.037
faced,0.0,0.0,0.185
faced with,-0.038,-0.166,0.0
facedown,-0.619,-0.63,-0.875
faceless,-0.54,-0.188,-0.654
facelift,0.583,0.667,0.083
faceplate,0.0,0.0,0.037
facet,0.334,-0.352,-0.236
facetious,-0.333,0.444,0.296
facetiously,0.048,0.667,0.0
facetiousness,-0.467,0.667,-0.25
facial,0.188,-0.142,-0.134
facial expression,0.138,-0.09,0.42
facial hair,-0.096,-0.18,-0.166
facial recognition,-0.17,0.136,0.308
facially,0.0,0.0,0.0
facile,0.48,-0.472,-0.386
facilitate,0.624,-0.334,0.018
facilitation,0.905,0.667,0.667
facilitative,0.667,0.667,0.519
facilitator,0.667,0.667,0.583
facilitatory,0.583,0.667,0.625
facilities,0.667,0.0,0.37
facility,0.25,0.0,0.308
facing,0.208,-0.188,0.1
facsimile,-0.02,0.0,0.086
fact,0.366,-0.334,0.236
fact is,0.118,-0.184,0.25
faction,-0.062,-0.14,-0.104
factional,-0.375,0.583,0.593
factionalism,-0.667,0.667,0.5
factionist,-0.5,0.704,0.619
factious,-0.667,0.63,-0.381
factiously,-0.667,0.667,-0.208
factitious,-0.667,0.0,-0.208
factitiously,-0.519,-0.333,-0.375
factoid,-0.048,-0.417,0.111
factor,0.27,-0.27,0.356
factor in,-0.034,-0.016,0.036
factor into,-0.062,-0.018,-0.166
factorability,0.524,-0.5,0.296
factorable,0.667,0.524,0.292
factorial,0.0,0.556,0.25
factories,-0.042,0.667,0.833
factorization,0.292,-0.389,0.619
factorize,0.444,0.0,0.542
factory,0.0,0.0,0.366
facts,0.376,-0.058,0.386
factsheet,0.0,0.25,0.458
factual,0.312,-0.12,0.09
factuality,0.593,-0.593,0.444
factually,0.0,-0.593,0.429
factualness,0.611,-0.5,0.375
faculties,0.286,-0.138,0.52
faculty,0.23,-0.176,0.464
faculty member,0.194,0.044,0.142
fad,0.326,0.04,0.14
faddish,-0.333,0.667,-0.481
fade,-0.292,-0.334,-0.51
fade away,-0.29,0.0,-0.36
fade in,-0.266,-0.136,-0.392
fade out,-0.518,-0.104,-0.718
faded,-0.396,-0.45,-0.612
fadedness,-0.444,-0.958,-0.741
fadeless,0.593,-0.963,0.25
fader,0.0,0.556,-0.048
faeces,-0.632,-0.048,-0.65
faerie,0.333,0.333,-0.333
fail,-0.646,0.156,-0.692
fail to,-0.71,-0.154,-0.612
failed state,-0.718,-0.192,-0.516
failing,-0.75,-0.02,-0.464
failsafe,0.875,-0.542,0.926
failure,-0.666,0.15,-0.722
fain,-0.042,-0.166,-0.148
faint,-0.874,-0.142,-0.666
fainter,-0.333,-0.524,-0.63
faintest,-0.333,-0.75,-0.875
fainthearted,-0.667,-0.667,-0.704
faintheartedly,-0.667,-0.852,-0.815
faintheartedness,-0.667,-0.889,-0.926
fainting,-0.334,0.02,-0.572
faintish,-0.333,-0.333,-0.5
faintly,0.0,-0.381,-0.407
faintness,-0.667,-0.667,-0.917
fair,0.624,0.114,0.286
fair amount,0.466,-0.238,0.19
fair chance,0.344,-0.25,-0.036
fair deal,0.322,-0.262,0.072
fair enough,0.214,-0.38,0.358
fair game,0.428,-0.086,0.188
fair market,0.032,0.0,0.178
fair number,0.1,-0.066,0.032
fair play,0.29,0.0,-0.034
fair question,0.29,-0.028,0.296
fair shake,0.3,-0.068,0.0
fair share,0.118,-0.14,-0.068
fair trade,0.4,-0.166,0.068
fair trial,0.44,-0.164,0.034
fair use,0.344,-0.264,0.166
fair weather,0.066,-0.2,0.064
fairer,0.667,0.0,0.333
fairgoer,0.667,0.63,-0.083
fairground,0.667,0.714,0.0
fairies,0.778,0.333,-0.296
fairly,0.58,-0.188,0.5
fairness,0.48,-0.366,0.104
fairway,0.082,0.02,0.0
fairy godmother,0.758,-0.156,0.096
fairy tale,0.428,-0.098,-0.1
fairyland,0.905,-0.619,-0.19
fairylike,0.741,-0.292,-0.381
fairytale,1.0,0.333,-0.074
faith,0.666,-0.56,0.526
faith in,0.642,0.014,-0.098
faithful,0.776,-0.334,0.254
faithfully,1.0,0.056,0.292
faithfulness,0.666,-0.148,0.204
faithless,-0.796,0.366,-0.392
faithlessly,-1.0,0.074,-0.444
faithlessness,-1.0,-0.667,-0.889
fajita,0.741,0.6,0.0
fake,-0.854,0.108,-0.464
fake it,-0.452,0.098,-0.408
fake news,-0.38,-0.036,-0.352
fake out,-0.608,0.014,-0.656
faked,-0.667,0.619,-0.6
faker,-0.51,0.26,-0.04
fakery,-0.722,0.238,-0.556
falafel,0.12,-0.196,-0.298
falcon,0.114,0.16,0.356
falconer,0.583,0.625,0.762
falconry,0.524,0.667,0.619
fall,-0.646,0.314,-0.558
fall apart,-0.548,0.16,-0.206
fall asleep,-0.242,-0.492,-0.344
fall away,-0.6,-0.094,-0.408
fall back,-0.266,-0.314,-0.194
fall behind,-0.718,-0.2,-0.366
fall down,-0.646,-0.106,-0.8
fall flat,-0.334,-0.138,-0.612
fall for,-0.194,0.03,-0.354
fall guy,-0.334,0.016,-0.42
fall in,-0.172,-0.098,-0.214
fall into,-0.366,-0.034,-0.154
fall off,-0.734,-0.164,-0.63
fall on,-0.072,-0.156,-0.366
fall out,-0.666,-0.138,-0.366
fall over,-0.6,-0.166,-0.534
fall short,-0.208,-0.166,-0.068
fall through,-0.388,0.0,-0.116
fall to,-0.534,-0.1,-0.334
fall under,-0.322,-0.164,-0.388
fall victim,-0.548,0.146,-0.466
fallacious,-0.458,0.174,-0.22
fallaciously,-0.958,0.111,-0.583
fallaciousness,-0.952,-0.5,-0.389
fallacy,-0.776,0.122,-0.14
fallback,-0.084,-0.284,0.016
fallibility,-0.556,-0.5,-0.704
fallible,-0.27,0.074,-0.196
fallibly,-0.556,-0.593,-0.533
falling,-0.596,0.432,-0.388
falling down,-0.572,0.076,-0.572
falling off,-0.656,-0.08,-0.4
falling out,-0.764,-0.016,-0.354
fallopian,-0.406,-0.22,-0.072
fallout,-0.144,-0.288,-0.254
fallow,-0.25,-0.264,-0.072
fallowness,-0.417,-1.0,-0.667
false,-0.88,-0.096,-0.451
false alarm,-0.482,0.094,-0.482
false claims,-0.646,0.07,-0.344
false hope,-0.75,-0.22,-0.678
false information,-0.7,-0.13,-0.666
false negative,-0.678,-0.1,-0.6
false positive,-0.62,0.244,-0.466
false positives,-0.8,0.08,-0.344
false sense,-0.566,-0.262,-0.63
false start,-0.69,0.0,-0.162
false starts,-0.7,-0.156,-0.71
false statements,-0.814,-0.03,-0.1
false witness,-0.724,-0.016,-0.31
falsehearted,-0.963,-0.542,-0.524
falsehood,-0.938,0.25,-0.232
falsely,-0.75,-0.02,-0.328
falseness,-0.667,-0.667,-0.583
falsetto,0.0,0.667,-0.333
falsifiable,0.095,-0.37,0.667
falsification,-0.654,0.44,-0.02
falsified,-0.916,0.26,-0.388
falsifier,-0.75,0.667,0.444
falsify,-0.77,0.314,-0.182
falsity,-0.76,0.378,-0.628
falter,-0.158,0.3,-0.308
falterer,-0.667,-0.111,-0.778
fame,0.792,0.51,0.704
famed,0.756,0.5,0.638
fameless,-0.571,-0.619,-0.75
familial,0.619,-0.667,-0.333
familiar,0.812,-0.34,0.23
familiar with,0.358,0.102,0.3
familiarity,0.708,-0.308,0.232
familiarization,0.667,0.667,0.286
familiarize,0.52,-0.27,0.308
familiarly,0.333,-0.556,0.0
families,0.833,-0.583,0.222
family,0.936,-0.234,0.286
family business,0.586,-0.046,0.37
family court,-0.138,0.032,0.452
family doctor,0.292,0.032,0.5
family emergency,-0.266,0.436,0.1
family friend,0.724,-0.156,0.13
family fun,0.828,0.106,0.088
family history,0.414,0.0,0.162
family home,0.646,-0.172,0.266
family law,0.134,-0.048,0.21
family leave,0.034,-0.162,-0.138
family man,0.572,-0.292,0.206
family medicine,0.322,0.044,0.234
family member,0.388,-0.176,0.108
family name,0.322,-0.246,0.034
family owned,0.452,-0.032,0.428
family planning,0.116,-0.1,0.27
family reunion,0.75,0.194,0.276
family room,0.31,-0.218,0.04
family size,0.3,-0.062,-0.04
family tree,0.552,-0.084,0.344
family values,0.666,-0.016,0.63
familytime,0.878,-0.16,0.358
famine,-0.674,0.358,-0.38
famish,-0.792,0.542,-0.963
famished,-0.646,0.308,-0.436
famous,0.832,0.55,0.764
famous person,0.482,-0.032,0.656
famously,0.712,0.53,0.574
famousness,1.0,0.0,0.778
fan,0.562,-0.142,-0.286
fan base,0.26,0.14,0.31
fan club,0.438,-0.112,0.074
fan fiction,0.0,-0.12,-0.242
fan out,-0.214,0.024,-0.38
fanatic,0.146,0.56,0.258
fanatical,0.11,0.66,0.428
fanatically,-0.619,1.0,0.741
fanaticism,-0.416,0.792,0.132
fanaticize,-0.667,0.667,0.333
fanbase,0.392,0.046,-0.096
fancied,0.667,0.0,0.625
fancier,0.667,0.389,0.333
fancies,0.667,0.458,-0.125
fanciful,0.354,0.184,-0.316
fancifully,0.667,0.333,0.429
fancifulness,0.593,-0.185,-0.167
fanciness,0.5,0.0,0.167
fancy,0.708,0.346,0.068
fancywork,0.619,-0.556,-0.167
fandangle,0.048,0.667,-0.042
fandango,-0.02,0.182,-0.142
fandom,0.533,0.667,0.25
fanfare,0.312,0.28,-0.126
fang,-0.65,-0.018,-0.09
fangled,-0.042,0.083,0.0
fangless,-0.375,-0.667,-0.833
fangs,-0.428,0.196,-0.132
fanlike,0.583,-0.667,-0.185
fanning,0.23,-0.34,-0.528
fanny pack,0.108,0.052,0.0
fantail,0.667,0.056,0.0
fantasia,0.796,0.388,-0.128
fantasies,0.556,0.593,-0.148
fantasize,0.542,0.32,-0.288
fantastic,0.938,0.392,0.662
fantastical,1.0,0.333,0.333
fantastically,1.0,0.667,0.296
fantasy,0.76,0.254,-0.052
fantasy baseball,0.5,0.22,0.38
fantasy football,0.1,0.178,0.194
fantasy novel,0.62,0.112,0.034
fantasy world,0.354,0.234,0.29
far,-0.482,-0.404,-0.13
far cry,-0.516,0.0,-0.2
far east,-0.052,-0.078,-0.094
far fetched,-0.366,0.032,-0.134
far from,-0.226,-0.118,-0.104
far gone,-0.138,0.052,-0.3
far left,-0.392,-0.08,-0.444
far north,-0.096,-0.084,-0.142
far off,-0.222,-0.158,-0.5
far out,-0.29,-0.052,-0.366
far right,-0.234,0.048,0.154
far side,0.032,-0.102,-0.1
far south,0.0,-0.138,-0.138
far west,0.064,-0.052,-0.146
faraway,-0.27,-0.288,-0.43
farce,-0.47,0.334,-0.508
farcical,-0.188,-0.038,-0.482
farcically,-0.5,0.667,-0.556
fare,-0.02,-0.15,0.29
farewell,-0.74,0.0,0.182
farfetched,-0.667,-0.074,-0.389
farfetchedness,-0.458,-0.167,-0.333
farm,0.562,-0.346,-0.406
farm boy,0.0,-0.112,-0.188
farm team,0.034,-0.016,0.04
farmable,0.667,-0.542,0.458
farmer,0.354,-0.136,-0.072
farmhand,0.292,0.667,-0.444
farmhouse,0.38,-0.34,-0.112
farming,0.16,-0.172,0.136
farmland,0.458,-0.274,0.018
farmost,0.0,0.0,0.5
farmstead,0.333,-0.667,0.0
farmworker,0.0,0.75,-0.185
farmyard,0.444,-0.667,-0.37
faro,0.088,-0.302,-0.286
farseeing,0.958,0.611,0.762
farsighted,0.667,0.0,0.619
farsightedly,0.667,0.458,0.63
farsightedness,0.667,-0.037,0.667
fart,-0.612,-0.122,-0.472
farther,-0.164,0.0,-0.14
farthest,0.143,0.0,0.583
farthing,0.0,-0.125,-0.333
fascia,-0.04,-0.268,-0.288
fascinate,0.708,0.366,0.604
fascinated,0.624,0.428,0.576
fascinating,0.958,0.634,0.568
fascination,0.77,0.546,0.67
fascinator,0.667,0.267,0.292
fascism,-0.792,0.48,0.39
fascist,-0.6,0.51,0.054
fashion,0.654,0.232,0.178
fashion designer,0.5,0.224,0.562
fashion industry,0.25,0.17,0.266
fashion show,0.4,0.186,0.428
fashion statement,0.5,0.148,0.206
fashionable,0.5,0.02,0.21
fashionably,0.625,0.333,0.458
fashioner,0.667,0.583,0.593
fashionista,0.704,0.667,0.63
fashionmonger,-0.333,0.667,0.238
fast,0.25,0.358,0.29
fast asleep,-0.096,-0.532,-0.608
fast break,0.194,0.334,-0.034
fast car,0.034,0.272,0.266
fast food,-0.2,0.048,0.1
fast forward,0.276,0.428,0.206
fast forwarding,0.156,0.46,0.392
fast lane,0.064,0.318,0.258
fast one,0.138,0.246,-0.076
fast pace,0.154,0.338,0.138
fast track,0.334,0.398,0.282
fastback,0.593,0.0,0.074
fastball,0.376,0.358,0.15
fasten,-0.084,0.17,0.058
fastener,0.154,-0.246,-0.018
fastening,0.188,-0.054,0.108
faster,0.548,0.19,0.134
fastest,0.466,0.328,0.62
fastidious,0.667,-0.667,0.583
fastidiously,0.667,-0.519,0.571
fastidiousness,0.333,-0.519,0.519
fasting,-0.224,-0.26,-0.212
fastness,0.583,0.667,0.556
fat,-0.604,-0.294,-0.526
fat boy,-0.608,-0.032,-0.38
fat cat,-0.366,-0.224,0.034
fat cats,-0.424,-0.21,0.0
fat chance,-0.132,-0.142,-0.358
fat guy,-0.358,-0.016,-0.3
fat lady,-0.434,-0.21,-0.358
fat man,-0.572,-0.238,-0.344
fat person,-0.406,-0.25,-0.16
fatal,-0.677,0.387,0.018
fatale,-0.619,0.667,0.704
fatalism,-0.584,0.388,0.262
fatalist,-0.667,-0.667,-0.667
fatalistic,-0.667,-0.667,-0.667
fatalistically,-0.667,-0.667,-0.667
fatality,-0.938,0.596,0.324
fatally,-0.952,0.714,0.333
fate,0.142,-0.042,0.424
fated,0.164,-0.056,0.384
fateful,-0.42,0.166,-0.196
fatefully,-0.63,0.5,-0.407
fatefulness,-0.074,-0.667,0.375
fathead,-0.408,0.054,-0.074
father,0.624,-0.334,0.648
father figure,0.334,-0.214,0.308
father time,0.226,-0.172,0.066
father's day,0.71,-0.106,0.484
fatherhood,0.77,0.038,0.364
fatherland,0.458,-0.062,0.556
fatherless,-0.714,-0.667,-0.619
fatherlessness,-0.667,-0.667,-0.81
fatherliness,0.833,-0.667,0.5
fatherly,0.73,-0.274,0.424
fathom,0.04,-0.18,0.046
fathomable,0.667,-0.571,0.292
fathomless,-0.333,-0.958,0.042
fathomlessly,-0.083,-0.81,-0.292
fatigue,-0.654,-0.244,-0.47
fatigued,-0.708,-0.134,-0.51
fatigueless,1.0,1.0,0.762
fatness,-0.4,-0.667,-0.476
fatso,-0.428,-0.212,-0.328
fatten,-0.25,0.098,-0.274
fattener,-0.333,0.75,0.542
fatter,-0.667,-0.524,-0.167
fattiness,-0.667,-0.667,-0.375
fatty,-0.428,-0.278,-0.35
fatuous,-1.0,-0.667,-0.667
fatuously,-0.667,-0.333,-0.889
faucet,-0.146,-0.444,-0.288
fault,-0.624,0.116,-0.632
faultfinder,-0.667,0.619,-0.111
faultfinding,-0.667,0.524,0.833
faultiness,-0.889,-0.667,-0.852
faultless,0.584,0.0,0.482
faultlessly,0.963,-0.625,0.926
faultlessness,0.81,-1.0,0.815
faulty,-0.632,0.186,-0.244
faun,-0.02,-0.394,-0.248
fauna,0.312,-0.511,-0.096
faux,-0.418,-0.02,-0.592
faux pas,-0.484,0.022,-0.23
fave,0.138,-0.08,-0.034
favor,0.624,-0.384,0.038
favor with,0.296,0.058,0.154
favorable,0.904,-0.24,0.576
favorableness,0.905,-0.5,0.519
favorably,0.958,-0.667,0.542
favorer,0.619,0.042,0.19
favorite,0.77,0.18,0.382
favoriteholiday,0.734,0.236,0.164
favoritism,0.164,0.118,0.316
favourite,0.844,0.032,0.358
favours,0.667,0.519,0.208
fawn,0.252,-0.28,-0.432
fawn over,0.104,-0.296,-0.178
fawner,-0.667,0.625,-0.81
fawnlike,0.556,-0.917,-0.625
fax,-0.188,-0.264,-0.392
fax machine,-0.13,-0.142,-0.068
fayed,0.0,-0.125,0.0
faze,-0.166,0.03,-0.236
faze me,-0.3,0.016,-0.034
fck,-0.69,0.084,-0.096
fear,-0.854,0.68,-0.414
fear for,-0.534,0.058,-0.242
fear mongering,-0.634,0.258,-0.276
feared,-0.52,0.466,0.018
fearful,-0.834,-0.036,-0.444
fearfully,-0.776,0.134,-0.458
fearfulness,-0.889,0.667,-0.958
fearing,-0.75,0.132,-0.488
fearless,0.62,0.612,0.52
fearlessly,1.0,0.889,0.963
fearlessness,0.944,0.741,1.0
fears,-0.878,0.642,-0.388
fearsome,-0.77,0.8,0.172
fearsomely,-0.75,0.944,0.963
feasibility,0.306,-0.02,0.482
feasible,0.388,-0.224,0.222
feasibleness,0.708,-0.625,0.667
feasibly,0.524,-0.593,0.333
feast,0.958,0.448,0.36
feast on,0.276,0.032,0.186
feat,0.5,0.412,0.698
feather,0.354,-0.584,-0.712
featherbed,0.083,-0.75,-0.476
featherbedding,-0.667,0.417,0.042
featherbrain,-0.75,0.583,-0.905
feathered,-0.124,-0.424,-0.572
featherhead,-0.667,0.083,-0.667
featheriness,0.533,-0.905,-0.444
featherless,-0.083,0.0,-0.625
featherlike,0.667,-0.444,-0.75
featherweight,-0.238,-0.083,-0.917
feathery,0.333,-0.417,-0.292
feature,0.334,-0.372,0.358
feature film,0.414,-0.126,0.31
feature in,0.2,0.016,-0.036
featured,0.619,0.037,0.4
featureless,-0.667,-0.952,-0.593
features,0.334,-0.134,0.018
febrile,-0.142,0.156,-0.172
february,0.0,-0.63,0.0
fecal,-0.49,0.056,-0.574
fecal matter,-0.242,0.072,-0.076
feces,-0.52,-0.186,-0.386
feckless,-0.667,-0.667,-0.741
fecklessly,-0.667,0.667,-1.0
fecklessness,-1.0,-0.667,-0.944
fecundity,0.376,0.182,0.366
fed,0.204,-0.26,-0.036
fed up,-0.5,0.096,-0.346
federacy,0.0,0.0,0.583
federal,0.06,-0.082,0.718
federal court,-0.218,0.092,0.5
federal government,-0.3,-0.084,0.5
federal holiday,0.308,0.182,0.344
federal party,0.134,0.172,0.29
federal reserve,0.166,0.27,0.536
federal tax,-0.4,-0.094,0.074
federalism,0.0,-0.524,0.667
federalist,0.083,0.667,0.704
federalization,0.067,0.63,0.75
federalize,0.0,0.63,0.889
federally,0.0,-0.593,0.593
federate,0.667,0.583,0.619
federation,0.266,-0.292,0.526
feds,-0.333,0.667,0.889
fedup,-0.346,0.0,-0.296
fee,-0.292,-0.228,0.112
feeble,-0.686,-0.44,-0.891
feebleminded,-1.0,-0.667,-1.0
feebleness,-0.944,-1.0,-1.0
feebly,-0.667,-1.0,-0.917
feed,0.624,-0.142,0.478
feed back,0.242,-0.15,-0.138
feed in,-0.166,-0.134,-0.234
feed into,0.096,0.014,-0.334
feed off,-0.56,0.062,-0.354
feed on,-0.032,-0.03,-0.068
feedback,0.244,0.114,0.29
feedback loop,0.052,0.146,0.066
feedbag,-0.259,0.0,-0.444
feedbox,0.0,-0.25,0.0
feeder,0.208,-0.096,0.426
feedstock,0.0,0.481,0.37
feel,0.604,0.204,0.192
feel about,-0.064,-0.324,0.104
feel bad,-0.966,-0.174,-0.536
feel compelled,-0.276,0.212,0.194
feel for,0.1,-0.286,-0.162
feel free,0.7,-0.218,0.0
feel good,0.812,-0.194,0.114
feel like,0.2,-0.22,0.038
feel myself,0.194,-0.064,0.266
feel out,-0.27,-0.182,-0.534
feel sorry,-0.444,-0.266,-0.322
feel up,-0.134,0.164,-0.026
feeler,0.0,0.407,-0.296
feelgood,0.928,-0.137,0.121
feeling,0.612,-0.342,0.062
feeling good,0.838,-0.282,0.6
feelingdown,-0.02,-0.086,0.134
feelinggood,0.88,-0.102,0.31
feet,0.02,-0.52,-0.416
feign,-0.32,-0.212,-0.288
feigned,-0.654,0.204,-0.334
feigner,-0.667,0.037,-0.63
feint,-0.333,0.625,0.375
feisty,0.184,0.706,0.578
felicitate,0.875,0.593,0.333
felicitation,1.0,0.074,0.583
felicitous,1.0,-0.542,0.333
felicitously,0.926,-0.593,0.375
felicitousness,1.0,-0.556,0.667
felicity,0.826,0.408,0.586
feline,0.23,0.49,0.018
fell,-0.49,-0.076,-0.5
fella,0.0,-0.06,-0.206
fellate,-0.429,1.0,-0.556
feller,-0.188,0.244,0.234
fellow,0.49,-0.404,0.14
fellow man,0.104,-0.126,-0.172
fellowman,0.611,-0.222,0.0
fellowship,0.8,-0.142,0.556
felon,-0.778,0.796,-0.09
felonious,-1.0,-0.667,0.583
feloniously,-1.0,0.667,0.238
felony,-0.568,0.616,-0.056
felt,0.286,-0.166,0.132
felt like,-0.066,-0.152,-0.438
female body,-0.166,0.018,-0.244
femaleness,0.0,-0.583,-0.292
females,0.0,0.083,0.0
feminine,0.604,0.04,-0.212
femininely,0.619,0.0,-0.333
femininity,0.5,-0.042,-0.098
feminism,0.082,0.14,0.272
feministic,0.556,0.0,0.542
feminization,0.0,-0.667,-0.5
feminize,-0.167,0.556,-0.292
femme,0.102,0.058,-0.204
femoral,-0.166,-0.352,0.132
femur,-0.184,-0.422,-0.174
fen,-0.02,-0.448,-0.242
fence,0.0,-0.604,-0.204
fence in,-0.264,-0.176,-0.034
fenced,-0.354,-0.14,-0.142
fenceless,-0.333,-0.667,-0.556
fencepost,0.0,-0.667,0.042
fencer,0.667,0.958,0.63
fencing,0.084,0.308,0.078
fend,0.292,0.462,0.074
